company_id;name;phonenumber;website;email;number;vatnumber;address_street;address_zipcode;address_city;address_country;address_type;distribution_partner_id
"20990";"Kleine-Leiden BV";"071-5312060";"www.kleine.nl";"";"40131";;"Rooseveltstraat 50";"2321BM";"LEIDEN";"NL";"office";"86268"
"21045";"Kobout B.V.";"078 6846611";"www.kobout.nl";"";"42226";"";"Nijverheidsweg 43";"3341LJ";"HENDRIK IDO AMBACHT";"NL";"office";"86268"
"21097";"Koninklijke De Kuyper B.V.";"010 4279700";"www.dekuyper.com";"";"42278";;"Buitenhavenweg 98";"3113BE";"SCHIEDAM";"NL";"office";"86268"
"21749";"Leica Geosystems B.V.";"0880018000";"";"";"40214";;"Turfschipper 36";"2292JC";"Wateringen";"NL";"office";"86268"
"21918";"Lobeco Fire + Security B.V.";"070-3143143";"www.lobeco.nl";"";"43214";"";"Taco Scheltemastraat 5";"2597CP";"'S-GRAVENHAGE";"NL";"office";"202526"
"22325";"Mammoet Nederland B.V.";"010-2042424";"www.mammoet.com";"";"40134";;"Karel Doormanweg 47";"3115JD";"Schiedam";"NL";"office";"86268"
"22609";"Meneba BV";"010-4238911";"www.meneba.com";"info@meneba.com";"41028";"";"Brielselaan 115";"3081AB";"ROTTERDAM";"NL";"office";"86268"
"22947";"Mukano BV";"071-4081003";"www.multicopy.nl";"";"20119";;"Ambachtsweg 4 /B";"2222AK";"KATWIJK ZH";"NL";"office";"86268"
"23046";"NLO";"070-3312500";"www.octrooibureau.nl";"info@octrooibureau.nl";"42177";"";"Anna van Buerenplein 21A";"2595 DA";"'S-GRAVENHAGE";"NL";"office";"86268"
"23358";"Noviflora Holland B.V.";"0174 671414";"www.noviflora.nl";"";"42228";;"Venus 240";"2675LN";"HONSELERSDIJK";"NL";"office";"86268"
"23370";"Nsecure B.V.";"0180 656666";"www.nsecure.nl";"info@nsecure.nl";"40298";;"Lubeck 1";"2993LK";"BARENDRECHT";"NL";"office";"86268"
"24446";"Promega Benelux BV";"071-5324244";"www.promega.com/nl/";"";"40199";"";"Kenauweg 34";"2331BB";"LEIDEN";"NL";"office";"86268"
"24627";"R.M.I. Chemical Logistics B.V.";"010-2831100";"www.rmi.nl";"rmi@rmi.nl";"40315";;"Seattleweg 7";"3195ND";"PERNIS ROTTERDAM";"NL";"office";"86268"
"24677";"RMS Kerst-en Themapakketten BV";"071-4034866";"";"bob@rmskerstpakketten.nl";"40165";"";"Steenbakkerstraat 3";"2222AT";"Katwijk";"NL";"office";"86268"
"24678";"Ravoska Kaasimport BV";"070-3012760";"www.ravoska.com";"";"42044";;"DONAU 86 -88";"2491BC";"DEN HAAG";"NL";"office";"86268"
"24708";"Red Star Electronics B.V.";"071-3319117";"";"";"40235";;"Zuideinde 2 -4";"2371BV";"ROELOFARENDSVEEN";"NL";"office";"86268"
"24801";"Reppel B.V.";"078-6174400";"www.reppel.nl";"reppel@reppel.nl";"40217";"";"Pieter Zeemanweg 107";"3316GZ";"DORDRECHT";"NL";"office";"86268"
"25054";"Romers Transport B.V.";"088-5333333";"www.romerstransport.nl";"bvr@romerstransport.nl";"42041";"";"Donker Duyvisweg 75";"3316BL";"DORDRECHT";"NL";"office";"86268"
"25169";"Rutex B.V.";"0172-418900";"www.rutex.nl";"info@rutex.nl";"42128";;"Bedrijfsweg 21";"2404CB";"ALPHEN AAN DEN RIJN";"NL";"office";"86268"
"25260";"Sandvik Benelux B.V.";"010 2080208";"www.sandvik.com";"";"42812";"";"'s-Gravelandseweg 401";"3125BJ";"SCHIEDAM";"NL";"office";"86268"
"25260";"Sandvik Benelux B.V.";"010 2080208";"www.sandvik.com";"";"42812";"";"'s-Gravelandseweg 401";"3125BJ";"SCHIEDAM";"NL";"office";"86268"
"25261";"Saneco Hygiene BV";"0252-218977";"www.sanecohygiene.nl";"";"41070";;"Wattstraat 36 -38";"2171TR";"SASSENHEIM";"NL";"office";"86268"
"25320";"Misco Solutions B.V.";"+31(0)884358000";"www.miscosolutions.nl";"info@miscosolutions.nl";"42016";"NL816936638B01";"Gondel 1";"1186 MJ";"Amstelveen";"NL";"office";"86268"
"25556";"Schouten Olie B.V.";"0172-423200";"www.schoutenolie.nl";"info@schoutenolie.nl";"42249";"";"Gnephoek 4";"2401LP";"ALPHEN AAN DEN RIJN";"NL";"office";"86268"
"25853";"Sitecom Europe B.V.";"010-2383322";"www.sitecom.com";"info@sitecom.com";"42423";"";"Linatebaan 101";"3045AH";"ROTTERDAM";"NL";"office";"86268"
"27652";"Still Intern Transport B.V.";"078 6845200";"www.still.nl";"";"42889";"";"Nijverheidsweg 5";"3341LJ";"HENDRIK IDO AMBACHT";"NL";"office";"86268"
"28156";"Technisch Bureau Koppe BV";"070-5119322";"www.koppe.nl";"";"40302";"";"Verlengde Hoge Klei 24";"2242NS";"WASSENAAR";"NL";"office";"86268"
"28261";"Telematch BV";"077 0022100";"www.telematch.nl";"fa@telematch.nl";"40120";"";"Curieweg 6 B";"2408BZ";"Alphen aan den Rijn";"NL";"office";"86268"
"28304";"Teuling Staal B.V.";"0180-611000";"www.teulingstaal.nl";"sales@teulingstaal.nl";"41004";;"Zuideinde 19";"2991LJ";"BARENDRECHT";"NL";"office";"86268"
"28980";"Xendo B.V.";"071-5244000";"www.xendo.com";"";"42266";"";"Archimedesweg 17 Bio Sc Park";"2333CM";"LEIDEN";"NL";"office";"86268"
"29017";"v. Speet Metaalbewerking B.V.";"0172-573839";"www.vsmmetaal.nl";"";"40233";;"Transportweg 70";"2421LS";"NIEUWKOOP";"NL";"office";"86268"
"29470";"Vacutech BV";"070-3990390";"www.vacutech.nl";"";"40220";;"Polakweg 4 /A";"2288GE";"RIJSWIJK ZH";"NL";"office";"86268"
"29736";"Van der Spruit & Dobbelmannduin, Makelaars in";"0252-416850";"www.spruit-dobbelmannduin.nl";"";"30125";;"Grachtweg 73 A";"2161HM";"LISSE";"NL";"office";"86268"
"30988";"Wagenbouw B.V.";"0184-411766";"www.wagenbouw.nl";"j.naaktgeboren@wagenbouw.nl";"40314";"";"Rivierdijk 2";"3361AP";"SLIEDRECHT";"NL";"office";"86268"
"31039";"Washtec Benelux BV";"079-3683720";"www.washtech.nl";"";"40271";;"Radonstraat 9";"2718SV";"ZOETERMEER";"NL";"office";"86268"
"31248";"Wim Wiesmeijer Boeketterie B.V.";"071-4086090";"www.wiesmeijer.com";"info@wiesmeijer.com";"42184";;"Laan van Verhof 3 Box G2.02";"2231BZ";"RIJNSBURG";"NL";"office";"86268"
"31454";"Zadkine Contract Activiteiten B.V.";"010 2012850";"www.zadkinecontract.nl";"";"30122";"";"Marten Meesweg 50";"3068AV";"ROTTERDAM";"NL";"office";"86268"
"31523";"Zig-Zag Forms BV";"071-5894500";"www.zigzagforms.nl";"";"41003";;"Energieweg 17";"2382NB";"ZOETERWOUDE";"NL";"office";"86268"
"32772";"Solvinity B.V.";"020 3643600";"www.solvinity.com";"Hylke.Hondema@solvinity.com";"42124";"NL853561886B01";"Hogehilweg 3";"1101 CA";"Amsterdam";"NL";"office";"86268"
"32814";"Atomis BV";"023-5540920";"www.atomis.nl";"";"42091";"";"Jadelaan 33";"2132XX";"HOOFDDORP";"NL";"office";"86268"
"33112";"B.V. Drukkerij Noordholland (720)";"072 5196796";"www.tdg-groep.nl";"";"42240";"";"Marconistraat 1";"1821BX";"ALKMAAR";"NL";"office";"86268"
"33798";"Bos Elektro B.V.";"035-6236000";"www.boselektro.com";"info@boselektro.com";"41092";"";"Oscar Romerolaan 12";"1216TK";"HILVERSUM";"NL";"office";"86268"
"33849";"Bouw- en Aannemingsbedrijf Ooyevaar BV";"072-5118696";"www.ooijevaar.nl";"";"42003";"";"Toermalijnstraat 10";"1812RL";"ALKMAAR";"NL";"office";"86268"
"34573";"Canal Digitaal BV";"035-6555666";"";"";"25752";;"Laapersveld 75";"1213VB";"HILVERSUM";"NL";"office";"86268"
"34592";"EOM Design BV";"020-5858362";"www.capi.nl";"info@capi.nl";"42029";"";"Basisweg 45";"1043AN";"AMSTERDAM";"NL";"office";"86268"
"34705";"Centrale Bond van Meubelfabrikanten";"0235158800";"www.cbm.nl";"";"40218";"";"Westerhoutpark 10";"2012JM";"HAARLEM";"NL";"office";"86268"
"34883";"Cognis Benelux BV";"020-4499888";"";"";"40117";;"Kruisweg 639";"2132NB";"HOOFDDORP";"NL";"office";"86268"
"34991";"Siem Steur Staalconstructies B.V.";"0299-399900";"www.siemsteur.nl";"info@siemsteur.nl";"42024";;"Parallelweg 7";"1131DM";"VOLENDAM";"NL";"office";"86268"
"35123";"Cooperatieve Zuivelonderneming CONO b.a.";"0299-689200";"www.cono.nl";"";"40192";;"Rijperweg 20";"1464MB";"Westbeemster";"NL";"office";"86268"
"35321";"Dantuma B.V.";"023-5430808";"www.dantuma.nl";"";"42185";"";"Henk Schijvenaarstraat 1";"2031VZ";"HAARLEM";"NL";"office";"86268"
"35956";"Nic. Oud Direct Mail B.V.";"072-5671023";"www.nicoud.nl";"fruiter@nicoud.nl";"42105";;"Newtonstraat 46";"1704SB";"HEERHUGOWAARD";"NL";"office";"86268"
"36018";"Dorned BV";"0793435070";"";"";"30139";;"Industrieweg 6";"2712LB";"Zoetermeer";"NL";"office";"86268"
"36300";"edilon)(sedra BV";"023-5319519";"www.edilonsedra.com";"mail@edilon.com";"41024";"";"Nijverheidsweg 23";"2031CN";"HAARLEM";"NL";"office";"86268"
"36373";"Electro-Technisch Bureau De Jong en Zoon Leid";"020-6916311";"";"";"40338";;"Joop Geesinkweg 129";"1096AT";"AMSTERDAM";"NL";"office";"86268"
"36570";"Plymovent Manufacturing BV";"072-5640604";"www.plymovent.com";"";"40242";"";"Wezelkoog 11";"1822BL";"ALKMAAR";"NL";"office";"86268"
"37131";"Frans Beekwilder B.V.";"020 6233222";"";"info@beekwilder.com";"40262";;"Prins Hendrikkade 16 - 19";"1012TL";"AMSTERDAM";"NL";"office";"86268"
"37134";"Kragtwijk Catering";"020-6413828";"www.franskragtwijk.nl";"";"30119";"";"Touwslagerij 7";"1185ZP";"AMSTELVEEN";"NL";"office";"86268"
"37346";"Gebrema Handelsonderneming BV";"0294-415151";"";"";"41014";;"Bloemendalerweg 28";"1382KC";"WEESP";"NL";"office";"86268"
"37403";"Geostick Nederlandse Etikettenindustrie B.V.";"0297 514131";"www.geostick.nl";"";"42636";"";"Amsterdamseweg 26";"1422AD";"UITHOORN";"NL";"office";"86268"
"37403";"Geostick Nederlandse Etikettenindustrie B.V.";"0297 514131";"www.geostick.nl";"";"42636";"";"Geen export toegestaan";"1422AD";"UITHOORN";"NL";"office";"86268"
"37421";"Huurmaat B.V.";"071-5289100";"";"";"42054";;"Hallenweg";"2316JX";"LEIDEN";"NL";"office";"86268"
"37499";"Misco Nederland B.V.";"020-5470606";"www.misco.nl";"sales@misco.nl";"42048";;"Kalkbranderij 2";"1185ZX";"AMSTELVEEN";"NL";"office";"86268"
"38342";"Hotel Okura Amsterdam B.V.";"020-6787111";"www.okura.nl";"";"40132";;"Ferdinand Bolstraat 333";"1072LH";"Amsterdam";"NL";"office";"86268"
"38455";"Hutter Veiligheid B.V.";"020-6533400";"";"";"42078";"";"Kruisweg 763";"2132NG";"HOOFDDORP";"NL";"office";"86268"
"38531";"Iggesund Paperboard Europe BV";"020-6559200";"www.iggesundpaperboard.com";"";"42635";"";"Paalbergweg 40";"1105BV";"AMSTERDAM ZUIDOOST";"NL";"office";"86268"
"38801";"Internationaal Transportbedrijf Moeijes B.V.";"0229-233344";"www.moeijes.net";"theod@moeijes.eu";"42162";"";"De Factorij 19";"1689AK";"ZWAAG";"NL";"office";"86268"
"38955";"Schouten Techniek B.V.";"0229-291500";"www.jpschouten.nl";"info@jpschouten.nl";"40230";;"De Marowijne 47";"1689AR";"ZWAAG";"NL";"office";"86268"
"39899";"KYOCERA Document Solutions Nederland B.V.";"020-5877200";"www.dnl.kyocera.com";"Rene.Visser@dnl.kyocera.com";"40339";"";"Beechavenue 25";"1119RA";"SCHIPHOL-RIJK";"NL";"office";"86268"
"40264";"Lyreco nederland BV";"0032-38209300";"www.lyreco.be";"";"42961";"";"Berchemstadionstraat 72";"2600";"BERCHEM.";"BE";"office";"86268"
"40824";"Mönch office supplies B.V.";"020-6132148";"www.monch.nl";"";"40299";"";"Abberdaan 58";"1046 AA";"AMSTERDAM";"NL";"office";"86268"
"40941";"Murata Electronics (Netherlands) B.V.";"023-5698410";"www.murata.nl";"info@murata.nl /descheppingen@murata.nl";"42040";"";"Wegalaan 2";"2132 JC";"HOOFDDORP";"NL";"office";"86268"
"40988";"N.V. Varitex";"023-5319317";"www.varitex.nl";"";"40211";"";"Zijlweg 103";"2013DE";"HAARLEM";"NL";"office";"86268"
"43086";"SCOPE marketing technology B.V.";"023-5176217";"www.scope.nl";"scope@scope.nl";"42165";"";"Wijkermeerstraat 3";"2131HB";"HOOFDDORP";"NL";"office";"86268"
"43409";"Quaron Wormerveer BV";"075-6474503/00";"www.solvadis.nl";"";"40237";;"Industrieweg 27";"1521NE";"WORMERVEER";"NL";"office";"86268"
"44138";"Kinderrijk Holding BV";"020 4260888";"www.kinderrijk.nl";"";"30116";"";"Bovenkerkerweg 4";"1185XE";"AMSTELVEEN";"NL";"office";"86268"
"45529";"Iv-Industrie BV";"078-6448000";"www.iv-industrie.nl";"accountspayable@iv-groep.nl";"42014";;"Waarderweg 40";"2031BP";"HAARLEM";"NL";"office";"86268"
"45607";"UBA Bouw B.V.";"0297-543400";"";"";"42796";"";"J.A. van Seumerenlaan 4";"1422XS";"UITHOORN";"NL";"office";"86268"
"47179";"World Fashion Centre Amsterdam B.V.";"020 5110111";"www.worldfashioncentre.nl";"";"42385";"";"Koningin Wilhelminaplein 13 01.16.01";"1062HH";"AMSTERDAM";"NL";"office";"86268"
"48087";"B & D Juristen";"030 2393950";"www.bdjuristen.nl";"";"42933";"";"Euclideslaan 71";"3584BM";"UTRECHT";"NL";"office";"86268"
"48387";"Biesheuvel Groep BV";"040 2066500";"www.biesheuvelgroep.nl";"fdeegens@biesheuvelgroep.nl";"40321";;"Ekkersrijt 4002";"5692DA";"Son";"NL";"office";"86268"
"48394";"Bikeurope B.V.";"033-4509040";"www.trekbikes.com";"arie_vanderburch@trekbikes.com";"40166";"";"Basicweg 12";"3821BR";"Amersfoort";"NL";"office";"86268"
"49025";"CA software B.V.";"030-6048345";"www.ca.com";"info@ca.com";"42173";"";"Orteliuslaan 1001";"3528BE";"UTRECHT";"NL";"office";"86268"
"49143";"Cordupack BV";"033-2580111";"www.cordupack.nl";"";"42010";"";"Zwarte Goorderweg 1 /A";"3836PD";"STOUTENBURG NOORD";"NL";"office";"86268"
"49220";"Danielson Europe B.V.";"0523-281200";"www.danielson-group.com";"";"41027";;"Nieuwe Haven 12";"7772BC";"Hardenberg";"NL";"office";"86268"
"49393";"Debuut BV";"0346-578195";"";"addy@debuut-bv.nl";"41000";"";"Computerweg 7";"3542DP";"UTRECHT";"NL";"office";"86268"
"50009";"Frontplan BV";"030-6375078";"www.frontplan.nl";"";"41011";;"Ringveste 5";"3992DD";"HOUTEN";"NL";"office";"86268"
"50358";"Handels- en Constructiebedrijf H. Hardeman B.";"0318 521700";"www.hardeman.nl";"";"43196";"";"Generatorstraat 27 A";"3903LH";"VEENENDAAL";"NL";"office";"202526"
"50488";"Kredietbewaking Bouw";"035 542 7512";"";"";"42552";"";"Gooimeer 4 - 15";"1411DC";"Naarden";"NL";"office";"86268"
"50576";"Hoogendijk BV";"030-2610657";"";"";"41041";;"Mississippidreef 20";"3565CG";"UTRECHT";"NL";"office";"86268"
"51019";"Koninklijke Jongeneel B.V.";"030 - 234 63 47";"www.jongeneel.nl";"info@jongeneel.nl";"42808";"";"Atoomweg 300";"3542AB";"Utrecht";"NL";"office";"86268"
"51203";"Koninklijke Bammens B.V.";"0346-592411";"";"toostveen@bammens.nl";"42007";"";"Straatweg 7";"3604BA";"Maarssen";"NL";"office";"86268"
"51508";"Lomans Amersfoort B.V.";"033-7505400";"www.lomans.nl";"";"42038";;"Astronaut 32";"3824MJ";"Amersfoort";"NL";"office";"86268"
"51868";"N.V. Gemengd Bedrijf Ned. Omroep Zender-Mij.";"030-6862400";"www.nozema.nl";"";"40161";;"Biezendijk 3";"3412KB";"Lopikerkapel";"NL";"office";"86268"
